# cmd: kubectl get events -A
# at: 2026-09-17T05:14:26Z

NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
chaos-mesh           40m         Normal    Pulled                    pod/chaos-dns-server-6c69c57bd6-vptdf                       Container image "ghcr.io/chaos-mesh/chaos-coredns:v0.2.8" already present on machine
chaos-mesh           40m         Normal    Created                   pod/chaos-dns-server-6c69c57bd6-vptdf                       Created container chaos-dns-server
chaos-mesh           40m         Normal    Started                   pod/chaos-dns-server-6c69c57bd6-vptdf                       Started container chaos-dns-server
chaos-mesh           40m         Warning   Unhealthy                 pod/chaos-dns-server-6c69c57bd6-vptdf                       Readiness probe failed: HTTP probe failed with statuscode: 503
chaos-mesh           39h         Normal    LeaderElection            lease/chaos-mesh                                            chaos-controller-manager-59b7dc547f-4w9md_8850bc1f-6bf2-4c56-b2a5-79b71460c843 became leader
chaos-mesh           39m         Normal    LeaderElection            lease/chaos-mesh                                            chaos-controller-manager-59b7dc547f-4w9md_0b890098-0efb-42ae-ace9-42968038edbf became leader
chaos-test           39h         Normal    SandboxChanged            pod/nginx-f8d4cc44c-8lbzg                                   Pod sandbox changed, it will be killed and re-created.
chaos-test           39h         Normal    Pulled                    pod/nginx-f8d4cc44c-8lbzg                                   Container image "docker.m.daocloud.io/library/nginx:latest" already present on machine
chaos-test           39h         Normal    Created                   pod/nginx-f8d4cc44c-8lbzg                                   Created container nginx
chaos-test           39h         Normal    Started                   pod/nginx-f8d4cc44c-8lbzg                                   Started container nginx
chaos-test           40m         Normal    SandboxChanged            pod/nginx-f8d4cc44c-8lbzg                                   Pod sandbox changed, it will be killed and re-created.
chaos-test           40m         Normal    Pulled                    pod/nginx-f8d4cc44c-8lbzg                                   Container image "docker.m.daocloud.io/library/nginx:latest" already present on machine
chaos-test           40m         Normal    Created                   pod/nginx-f8d4cc44c-8lbzg                                   Created container nginx
chaos-test           40m         Normal    Started                   pod/nginx-f8d4cc44c-8lbzg                                   Started container nginx
chaos-test           39h         Normal    SandboxChanged            pod/nginx-f8d4cc44c-dzdpp                                   Pod sandbox changed, it will be killed and re-created.
chaos-test           39h         Normal    Pulled                    pod/nginx-f8d4cc44c-dzdpp                                   Container image "docker.m.daocloud.io/library/nginx:latest" already present on machine
chaos-test           39h         Normal    Created                   pod/nginx-f8d4cc44c-dzdpp                                   Created container nginx
chaos-test           39h         Normal    Started                   pod/nginx-f8d4cc44c-dzdpp                                   Started container nginx
chaos-test           40m         Normal    SandboxChanged            pod/nginx-f8d4cc44c-dzdpp                                   Pod sandbox changed, it will be killed and re-created.
chaos-test           40m         Normal    Pulled                    pod/nginx-f8d4cc44c-dzdpp                                   Container image "docker.m.daocloud.io/library/nginx:latest" already present on machine
chaos-test           40m         Normal    Created                   pod/nginx-f8d4cc44c-dzdpp                                   Created container nginx
chaos-test           40m         Normal    Started                   pod/nginx-f8d4cc44c-dzdpp                                   Started container nginx
chaos-test           39h         Normal    SandboxChanged            pod/nginx-f8d4cc44c-vjtgd                                   Pod sandbox changed, it will be killed and re-created.
chaos-test           39h         Normal    Pulled                    pod/nginx-f8d4cc44c-vjtgd                                   Container image "docker.m.daocloud.io/library/nginx:latest" already present on machine
chaos-test           39h         Normal    Created                   pod/nginx-f8d4cc44c-vjtgd                                   Created container nginx
chaos-test           39h         Normal    Started                   pod/nginx-f8d4cc44c-vjtgd                                   Started container nginx
chaos-test           40m         Normal    SandboxChanged            pod/nginx-f8d4cc44c-vjtgd                                   Pod sandbox changed, it will be killed and re-created.
chaos-test           40m         Normal    Pulled                    pod/nginx-f8d4cc44c-vjtgd                                   Container image "docker.m.daocloud.io/library/nginx:latest" already present on machine
chaos-test           40m         Normal    Created                   pod/nginx-f8d4cc44c-vjtgd                                   Created container nginx
chaos-test           40m         Normal    Started                   pod/nginx-f8d4cc44c-vjtgd                                   Started container nginx
default              39h         Normal    Starting                  node/chaos-control-plane                                    Starting kubelet.
default              39h         Normal    NodeHasSufficientMemory   node/chaos-control-plane                                    Node chaos-control-plane status is now: NodeHasSufficientMemory
default              39h         Normal    NodeHasNoDiskPressure     node/chaos-control-plane                                    Node chaos-control-plane status is now: NodeHasNoDiskPressure
default              39h         Normal    NodeHasSufficientPID      node/chaos-control-plane                                    Node chaos-control-plane status is now: NodeHasSufficientPID
default              39h         Normal    NodeAllocatableEnforced   node/chaos-control-plane                                    Updated Node Allocatable limit across pods
default              39h         Normal    Starting                  node/chaos-control-plane                                    
default              39h         Normal    RegisteredNode            node/chaos-control-plane                                    Node chaos-control-plane event: Registered Node chaos-control-plane in Controller
default              40m         Normal    Starting                  node/chaos-control-plane                                    Starting kubelet.
