# cmd: kubectl get events -A
# at: 2026-09-17T05:14:26Z

NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
monitoring           40m         Normal    Pulled                    pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Container image "m.daocloud.io/quay.io/prometheus/alertmanager:v0.34.0" already present on machine
monitoring           40m         Normal    Created                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Created container alertmanager
monitoring           40m         Normal    Started                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Started container alertmanager
monitoring           40m         Normal    Pulled                    pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" already present on machine
monitoring           40m         Normal    Created                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Created container config-reloader
monitoring           40m         Normal    Started                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Started container config-reloader
monitoring           39h         Normal    SandboxChanged            pod/kps-grafana-c4ff4768c-lt6gj                             Pod sandbox changed, it will be killed and re-created.
monitoring           39h         Normal    Pulled                    pod/kps-grafana-c4ff4768c-lt6gj                             Container image "docker.m.daocloud.io/library/busybox:1.38.0" already present on machine
monitoring           39h         Normal    Created                   pod/kps-grafana-c4ff4768c-lt6gj                             Created container init-chown-data
monitoring           39h         Normal    Started                   pod/kps-grafana-c4ff4768c-lt6gj                             Started container init-chown-data
monitoring           39h         Normal    Pulled                    pod/kps-grafana-c4ff4768c-lt6gj                             Container image "m.daocloud.io/quay.io/kiwigrid/k8s-sidecar:2.11.2" already present on machine
monitoring           39h         Normal    Created                   pod/kps-grafana-c4ff4768c-lt6gj                             Created container grafana-sc-dashboard
monitoring           39h         Normal    Started                   pod/kps-grafana-c4ff4768c-lt6gj                             Started container grafana-sc-dashboard
monitoring           39h         Normal    Pulled                    pod/kps-grafana-c4ff4768c-lt6gj                             Container image "m.daocloud.io/quay.io/kiwigrid/k8s-sidecar:2.11.2" already present on machine
monitoring           39h         Normal    Created                   pod/kps-grafana-c4ff4768c-lt6gj                             Created container grafana-sc-datasources
monitoring           39h         Normal    Started                   pod/kps-grafana-c4ff4768c-lt6gj                             Started container grafana-sc-datasources
monitoring           39h         Normal    Pulled                    pod/kps-grafana-c4ff4768c-lt6gj                             Container image "docker.m.daocloud.io/grafana/grafana:13.2.1-distroless" already present on machine
monitoring           39h         Normal    Created                   pod/kps-grafana-c4ff4768c-lt6gj                             Created container grafana
monitoring           39h         Normal    Started                   pod/kps-grafana-c4ff4768c-lt6gj                             Started container grafana
monitoring           40m         Normal    SandboxChanged            pod/kps-grafana-c4ff4768c-lt6gj                             Pod sandbox changed, it will be killed and re-created.
monitoring           40m         Normal    Pulled                    pod/kps-grafana-c4ff4768c-lt6gj                             Container image "docker.m.daocloud.io/library/busybox:1.38.0" already present on machine
monitoring           40m         Normal    Created                   pod/kps-grafana-c4ff4768c-lt6gj                             Created container init-chown-data
monitoring           40m         Normal    Started                   pod/kps-grafana-c4ff4768c-lt6gj                             Started container init-chown-data
monitoring           40m         Normal    Pulled                    pod/kps-grafana-c4ff4768c-lt6gj                             Container image "m.daocloud.io/quay.io/kiwigrid/k8s-sidecar:2.11.2" already present on machine
monitoring           40m         Normal    Created                   pod/kps-grafana-c4ff4768c-lt6gj                             Created container grafana-sc-dashboard
monitoring           40m         Normal    Started                   pod/kps-grafana-c4ff4768c-lt6gj                             Started container grafana-sc-dashboard
monitoring           40m         Normal    Pulled                    pod/kps-grafana-c4ff4768c-lt6gj                             Container image "m.daocloud.io/quay.io/kiwigrid/k8s-sidecar:2.11.2" already present on machine
monitoring           40m         Normal    Created                   pod/kps-grafana-c4ff4768c-lt6gj                             Created container grafana-sc-datasources
monitoring           40m         Normal    Started                   pod/kps-grafana-c4ff4768c-lt6gj                             Started container grafana-sc-datasources
monitoring           40m         Normal    Pulled                    pod/kps-grafana-c4ff4768c-lt6gj                             Container image "docker.m.daocloud.io/grafana/grafana:13.2.1-distroless" already present on machine
monitoring           40m         Normal    Created                   pod/kps-grafana-c4ff4768c-lt6gj                             Created container grafana
monitoring           40m         Normal    Started                   pod/kps-grafana-c4ff4768c-lt6gj                             Started container grafana
monitoring           40m         Warning   Unhealthy                 pod/kps-grafana-c4ff4768c-lt6gj                             Readiness probe failed: Get "http://10.244.0.6:3000/api/health": dial tcp 10.244.0.6:3000: connect: connection refused
monitoring           39h         Normal    SandboxChanged            pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Pod sandbox changed, it will be killed and re-created.
monitoring           39h         Normal    Pulled                    pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-operator:v0.93.1" already present on machine
monitoring           39h         Normal    Created                   pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Created container kube-prometheus-stack
monitoring           39h         Normal    Started                   pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Started container kube-prometheus-stack
monitoring           39h         Warning   Unhealthy                 pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Readiness probe failed: Get "https://10.244.0.2:10250/healthz": dial tcp 10.244.0.2:10250: connect: connection refused
monitoring           39h         Warning   Unhealthy                 pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Liveness probe failed: Get "https://10.244.0.2:10250/healthz": dial tcp 10.244.0.2:10250: connect: connection refused
monitoring           39h         Normal    Killing                   pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Container kube-prometheus-stack failed liveness probe, will be restarted
monitoring           40m         Normal    SandboxChanged            pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Pod sandbox changed, it will be killed and re-created.
monitoring           39m         Normal    Pulled                    pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-operator:v0.93.1" already present on machine
monitoring           39m         Normal    Created                   pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Created container kube-prometheus-stack
monitoring           39m         Normal    Started                   pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Started container kube-prometheus-stack
monitoring           39m         Warning   Unhealthy                 pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Readiness probe failed: Get "https://10.244.0.2:10250/healthz": dial tcp 10.244.0.2:10250: connect: connection refused
monitoring           39m         Warning   Unhealthy                 pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Liveness probe failed: Get "https://10.244.0.2:10250/healthz": dial tcp 10.244.0.2:10250: connect: connection refused
monitoring           39m         Normal    Killing                   pod/kps-kube-prometheus-stack-operator-56cb6c6cd9-4l7fj     Container kube-prometheus-stack failed liveness probe, will be restarted
monitoring           39h         Normal    SandboxChanged            pod/kps-kube-state-metrics-556886696-rpgbr                  Pod sandbox changed, it will be killed and re-created.
monitoring           39h         Normal    Pulled                    pod/kps-kube-state-metrics-556886696-rpgbr                  Container image "m.daocloud.io/registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.20.0" already present on machine
monitoring           39h         Normal    Created                   pod/kps-kube-state-metrics-556886696-rpgbr                  Created container kube-state-metrics
monitoring           39h         Normal    Started                   pod/kps-kube-state-metrics-556886696-rpgbr                  Started container kube-state-metrics
monitoring           39h         Warning   Unhealthy                 pod/kps-kube-state-metrics-556886696-rpgbr                  Liveness probe failed: Get "http://10.244.0.11:8080/livez": dial tcp 10.244.0.11:8080: connect: connection refused
monitoring           39h         Warning   Unhealthy                 pod/kps-kube-state-metrics-556886696-rpgbr                  Readiness probe failed: Get "http://10.244.0.11:8081/readyz": dial tcp 10.244.0.11:8081: connect: connection refused
monitoring           39h         Normal    Killing                   pod/kps-kube-state-metrics-556886696-rpgbr                  Container kube-state-metrics failed liveness probe, will be restarted
monitoring           40m         Normal    SandboxChanged            pod/kps-kube-state-metrics-556886696-rpgbr                  Pod sandbox changed, it will be killed and re-created.
monitoring           39m         Normal    Pulled                    pod/kps-kube-state-metrics-556886696-rpgbr                  Container image "m.daocloud.io/registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.20.0" already present on machine
monitoring           39m         Normal    Created                   pod/kps-kube-state-metrics-556886696-rpgbr                  Created container kube-state-metrics
monitoring           39m         Normal    Started                   pod/kps-kube-state-metrics-556886696-rpgbr                  Started container kube-state-metrics
monitoring           39m         Warning   Unhealthy                 pod/kps-kube-state-metrics-556886696-rpgbr                  Liveness probe failed: Get "http://10.244.0.16:8080/livez": dial tcp 10.244.0.16:8080: connect: connection refused
monitoring           39m         Warning   Unhealthy                 pod/kps-kube-state-metrics-556886696-rpgbr                  Readiness probe failed: Get "http://10.244.0.16:8081/readyz": dial tcp 10.244.0.16:8081: connect: connection refused
monitoring           39m         Normal    Killing                   pod/kps-kube-state-metrics-556886696-rpgbr                  Container kube-state-metrics failed liveness probe, will be restarted
monitoring           39h         Normal    SandboxChanged            pod/kps-prometheus-node-exporter-dh6ln                      Pod sandbox changed, it will be killed and re-created.
monitoring           39h         Normal    Pulled                    pod/kps-prometheus-node-exporter-dh6ln                      Container image "m.daocloud.io/quay.io/prometheus/node-exporter:v1.12.1-distroless" already present on machine
monitoring           39h         Normal    Created                   pod/kps-prometheus-node-exporter-dh6ln                      Created container node-exporter
monitoring           39h         Normal    Started                   pod/kps-prometheus-node-exporter-dh6ln                      Started container node-exporter
monitoring           40m         Normal    SandboxChanged            pod/kps-prometheus-node-exporter-dh6ln                      Pod sandbox changed, it will be killed and re-created.
monitoring           40m         Normal    Pulled                    pod/kps-prometheus-node-exporter-dh6ln                      Container image "m.daocloud.io/quay.io/prometheus/node-exporter:v1.12.1-distroless" already present on machine
monitoring           40m         Normal    Created                   pod/kps-prometheus-node-exporter-dh6ln                      Created container node-exporter
monitoring           40m         Normal    Started                   pod/kps-prometheus-node-exporter-dh6ln                      Started container node-exporter
monitoring           39h         Normal    SandboxChanged            pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Pod sandbox changed, it will be killed and re-created.
monitoring           39h         Normal    Pulled                    pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" already present on machine
monitoring           39h         Normal    Created                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Created container init-config-reloader
monitoring           39h         Normal    Started                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Started container init-config-reloader
monitoring           39h         Normal    Pulled                    pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Container image "m.daocloud.io/quay.io/prometheus/prometheus:v3.14.0-distroless" already present on machine
monitoring           39h         Normal    Created                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Created container prometheus
monitoring           39h         Normal    Started                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Started container prometheus
monitoring           39h         Normal    Pulled                    pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" already present on machine
monitoring           39h         Normal    Created                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Created container config-reloader
monitoring           39h         Normal    Started                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Started container config-reloader
monitoring           39h         Warning   Unhealthy                 pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Startup probe failed: HTTP probe failed with statuscode: 503
monitoring           40m         Normal    SandboxChanged            pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Pod sandbox changed, it will be killed and re-created.
monitoring           40m         Normal    Pulled                    pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" already present on machine
monitoring           40m         Normal    Created                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Created container init-config-reloader
monitoring           40m         Normal    Started                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Started container init-config-reloader
monitoring           40m         Normal    Pulled                    pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Container image "m.daocloud.io/quay.io/prometheus/prometheus:v3.14.0-distroless" already present on machine
monitoring           40m         Normal    Created                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Created container prometheus
monitoring           40m         Normal    Started                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Started container prometheus
monitoring           40m         Normal    Pulled                    pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" already present on machine
monitoring           40m         Normal    Created                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Created container config-reloader
monitoring           40m         Normal    Started                   pod/prometheus-kps-kube-prometheus-stack-prometheus-0       Started container config-reloader
